	UF1	UF2	UF3	UF4	UF5	UF6
	0.0321678	0.0462446	0.0342976	0.0892365	0.434013	0.2802588
	0.0341244	0.041098	0.0492711	0.0771534	0.2870553	0.2007408
	0.0406161	0.037657	0.04135	0.0625533	0.4322047	0.2261205
	0.0316837	0.0409694	0.0400484	0.0819232	0.5079125	0.2287183
	0.0336682	0.0449569	0.0318787	0.068894	0.3454342	0.2298562
	0.0320045	0.0420549	0.0407438	0.0830793	0.3540926	0.1151911
	0.0310181	0.0419466	0.0456458	0.1035705	0.2791696	0.5713694
	0.0362826	0.0358298	0.0304287	0.0841142	0.2976701	0.2641951
	0.0351091	0.0480582	0.0422001	0.087256	0.315451	0.1284778
	0.0336638	0.045879	0.06185	0.0679745	0.4129311	0.6045649
	0.0362423	0.0451491	0.0418541	0.0664197	0.3623624	0.5984012
	0.0365953	0.0423351	0.0350275	0.0898152	0.3688293	0.4590984
	0.0315892	0.0367877	0.0510426	0.0855204	0.4045656	0.1382742
	0.0347609	0.043486	0.0533352	0.080879	0.3910352	0.1326038
	0.0341448	0.0453052	0.0489116	0.073452	0.2885348	0.3000266
	0.0324453	0.0395886	0.0639334	0.0734792	0.3647803	0.6517189
	0.0372249	0.0503128	0.0396443	0.0941964	0.2628629	0.1313483
	0.0336148	0.0424682	0.035882	0.082571	0.3732604	0.1043027
	0.0264512	0.0391131	0.0378371	0.0871881	0.3956709	0.2185882
	0.0333561	0.0469245	0.0585725	0.1037285	0.3232431	0.1685431
	0.0319346	0.0468556	0.055182	0.0677543	0.3334099	0.6466095
	0.0325403	0.0492866	0.0501125	0.067324	0.2824192	0.6927152
	0.0317836	0.0457108	0.033344	0.083549	0.5043466	0.5640968
	0.0339198	0.0519062	0.0411533	0.0801246	0.477431	0.1291711
	0.0314066	0.0410881	0.0467746	0.0649125	0.3763571	0.2061414
	0.0382686	0.0499488	0.0429152	0.0805288	0.4185879	0.2151358
	0.0316018	0.0390403	0.0360589	0.0803796	0.4106156	0.1309175
	0.0277067	0.0382848	0.0383231	0.0728148	0.3655764	0.2308517
	0.032537	0.043332	0.0360883	0.0927986	0.4190544	0.2689021
	0.0324742	0.0450739	0.0398966	0.097934	0.3817208	0.1721089
						
Mean	0.0333646	0.0435564	0.0434534	0.0810375	0.3723533	0.3003016
Std	0.002844	0.0041898	0.0088045	0.0111114	0.0645318	0.1929662
Min	0.0264512	0.0358298	0.0304287	0.0625533	0.2628629	0.1043027
Max	0.0406161	0.0519062	0.0639334	0.1037285	0.5079125	0.6927152
